Fecha,Hora,Bosque,Transecto ,Periodo,Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Codigo_Final,Latitude,Longitude
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran54,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran55,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Bellis perennis,Apis mellifera,,no,,,tran56,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran57,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran58,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran59,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran60,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran61,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran62,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran63,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran64,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran65,43.08122109,-2.81928523
23/04/20,10:40:00,1,1,1,Scilla verna,,,si,7,Al pinchar perdi— la cabeza,tran66,,
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran67,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran68,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran69,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran70,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Helleborus viridis subsp. occidentalis,Apis mellifera,,no,,,tran71,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran72,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran73,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran74,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Bellis perennis,,macho,si,8,,tran75,,
23/04/20,17:00:00,1,2,1,Taraxacum sp.,,macho,si,9,,tran76,,
23/04/20,17:00:00,1,2,1,Helleborus viridis subsp. occidentalis,Apis mellifera,,no,,,tran77,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran78,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran79,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Helleborus viridis subsp. occidentalis,Bombus pascuorum,,no,,,tran80,43.08122109,-2.81928523
23/04/20,17:00:00,1,2,1,Blanca compuesta,,hembra,si,10,,tran81,,
23/04/20,17:00:00,1,2,1,Bellis perennis,Syrphidae,,no,,,tran82,,
23/04/20,17:00:00,1,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran83,43.08122109,-2.81928523
29/04/20,10:45:00,2,1,2,Bellis perennis,,,si,11,,tran85,,
29/04/20,10:45:00,2,1,2,Viola sp.,Bombus pascuorum,,no,,,tran86,43.07809858,-2.80989683
29/04/20,10:45:00,2,1,2,Taraxacum sp.,,,si,12,,tran87,,
29/04/20,12:14:00,1,1,2,Taraxacum sp.,?=12,,no,,,tran88,,
29/04/20,12:14:00,1,1,2,Taraxacum sp.,?=12,,no,,,tran89,,
29/04/20,12:14:00,1,1,2,Bellis perennis,,,si,15,,tran90,,
29/04/20,12:14:00,1,1,2,Taraxacum sp.,,,si,16,,tran91,,
29/04/20,12:14:00,1,1,2,Bellis perennis,Syrphidae,,no,,,tran92,,
29/04/20,12:14:00,1,1,2,Bellis perennis,?=17,,si,17,,tran93,,
3/5/20,10:30:00,1,1,2,0,0,,,,"Est‡n volando B. Lapidarius, B. Pascuorum y lepidopteros",tran94,,
3/5/20,14:15:00,1,2,2,Ranunculus sp.,,,si,18,,tran95,,
3/5/20,14:15:00,1,2,2,Bellis perennis,,,si,19,,tran96,,
3/5/20,14:15:00,1,2,2,Vicia pyrenaica,Bombus pascuorum,,no,,,tran97,43.08122109,-2.81928523
3/5/20,14:15:00,1,2,2,Potentilla erecta,Syrphidae,,no,,,tran98,,
3/5/20,14:15:00,1,2,2,Potentilla erecta,Syrphidae,,no,,,tran99,,
3/5/20,14:15:00,1,2,2,Bellis perennis,Syrphidae,,no,,,tran100,,
3/5/20,14:15:00,1,2,2,Potentilla montana,,,si,20,,tran101,,
3/5/20,14:15:00,1,2,2,Potentilla erecta,,,si,21,,tran102,,
3/5/20,14:15:00,1,2,2,Bellis perennis,?=12,,no,,,tran103,,
3/5/20,17:05:00,1,3,2,Potentilla erecta,?=28,,no,,,tran104,,
3/5/20,17:05:00,1,3,2,Bellis perennis,,,si,22,,tran105,,
3/5/20,17:05:00,1,3,2,Bellis perennis,?=22,,no,,,tran106,,
3/5/20,17:05:00,1,3,2,Lotus corniculatus,Apis mellifera,,no,,,tran107,43.08122109,-2.81928523
3/5/20,17:05:00,1,3,2,Vicia pyrenaica,Bombus pascuorum,,no,,,tran108,43.08122109,-2.81928523
4/5/20,10:30:00,5,1,2,Scilla verna,,,si,23,"Es un tipo de mosquilla peque–a, muy abundante",tran109,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran110,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran111,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran112,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran113,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran114,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran115,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran116,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran117,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran118,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran119,,
